  * Configuratie <#!/konfiguration>
      o Touch configuraties <#!/konfiguration/touchkonfiguration>
      o Schacht configuraties <#!/konfiguration/schachtkonfiguration>
      o Design configuraties <#!/konfiguration/designkonfiguration>
      o SMX configuraties <#!/konfiguration/smxkonfiguration>
  * Automaten <#!/service/handelsgruppen?quickFinderAddress=1>
      o Zoeken <#!/service/service>
  * Productencatalogus <#!/konfiguration/produktkatalog>
      o Prijs configuratie <#!/konfiguration/preisliste>
      o Producten vervangen <#!/konfiguration/suchenersetzen>
      o Product usage <#!/konfiguration/produktverwendung>
  * Bestanden <#!/konfiguration/alleBilder>
      o Merk <#!/konfiguration/marke>
      o Productlijn gedownload van updateserver
        <#!/konfiguration/produktlinie>
  * Productgroepen <#!/konfiguration/warengruppen>
  * Statistiek <#!/statistik>
      o Tijd <#!/statistik/statistik2>
      o Product <#!/statistik/statistik3>
      o Level <#!/statistik/statistik4>
      o Uitverkocht <#!/statistik/statistik5>
      o Fout <#!/statistik/statistik6>
      o Deur openingstijden <#!/statistik/statistik7>
  * Service <#!/service/index>
      o Handleidingen <#!/service/dokumentation>

Belgique (Français)

		Weergeven afbeelding	
	OK

327 Produkt(e)

Afbeelding	Naam	Fabrikant	Hoogte	Breedte	Diepte	Inhoud	EAN	Prijs  	Mutatiedatum	ID
	CAMEL ESSENTIAL/30G	JTI	23	72	125	30	5410446009683	6,00 €	16/02/2021 14:07:40	de79138d-e442-defd-3bf1-c8e4d7f7533c
	CAMEL VOLUME YELLOW/30G	JTI	23	72	125	30	5410446010528	5,20 €	30/10/2020 14:25:27	ff963c81-457e-a9f0-868a-f63a4ac3562b
	CAMEL YELLOW 100S/20	JTI	23	56	103	20	5410446008839	7,20 €	05/10/2021 11:44:41	af834f95-50d2-053f-b91d-f64b15742f3a
	CAMEL YELLOW GIGA/53	JTI	43	87	78	53	5410446017190	18,00 €	05/10/2021 11:46:13	e7e5dcbf-1f54-e027-1bbb-273f3068352b
	CAMEL YELLOW GIGA/56	JTI	43	87	78	56	5410446016568	17,00 €	05/10/2021 11:46:23	34dc7975-2c8a-8a4e-e06a-3d5bcbbebff6
	CAMEL YELLOW L/26	JTI	29	67	90	26	5410446006736	9,20 €	05/10/2021 11:45:12	7f3d8b74-1a05-4ead-a985-8475060000af
	CAMEL YELLOW M/22	JTI	24	67	90	22	5410446007221	8,20 €	05/10/2021 11:45:21	6f5e2e91-584b-4904-bd5b-0bfd67d339dc
	CAMEL YELLOW S/20	JTI	23	56	90	20	54043213	7,00 €	05/10/2021 11:45:34	2349de7f-a179-4946-9746-4171a5358484
	CAMEL YELLOW XL/31	JTI	30	74	90	31	5410446015141	10,70 €	05/10/2021 11:45:44	fd08a644-745b-01b2-1701-48c89b78296d
	CAMEL YELLOW XXL/35	JTI	32	67	90	35	54043114	12,00 €	06/10/2021 12:00:21	80a97bf4-41d2-a65a-4c5a-16e074848b2b
	CAMEL YELLOW/30G	JTI	23	72	144	30	5410446007757	6,00 €	12/02/2021 09:20:44	d88b777f-255e-691c-0ecf-2ad47b869775
	CHESTERFIELD BLUE/20	PMI	23	55	88	20	54140684	6,90 €	27/04/2021 14:43:34	38a6988c-da18-430c-8a3e-e6d9bc4273bd
	CHESTERFIELD RED BIG/47	BAT	37	87	93	47	54014510	15,00 €	05/10/2021 11:52:01	c2d5be48-23db-65db-76d1-5336694d7f86
	CHESTERFIELD RED M/23	PMI	24	67	90	23	54014527	7,90 €	05/10/2021 11:52:15	52936a48-d0d0-fd83-5cd9-b398ce3ab3ed
	CHESTERFIELD RED M/25	PMI	24	67	90	25	54141681	7,70 €	05/10/2021 11:50:07	e0c5acb3-aff2-4709-8502-b0a427f24607
	CHESTERFIELD RED XL/31	PMI	30	72	90	31	54014534	10,00 €	05/10/2021 11:52:30	73ab7ada-73e9-9dbd-6fd1-27a6dded8529
	CHESTERFIELD RED XL/34	PMI	30	72	90	34	54002401	9,80 €	05/10/2021 11:51:10	9af049e2-a519-7077-b2f1-b0cdec516b25
	CHESTERFIELD RED/20	PMI	23	56	90	20	54140660	6,50 €	05/10/2021 11:51:19	8d545087-890c-4edf-b0d4-467909de5309
